confidence_threshold,n_total,n_accepted,n_rejected,coverage,rejection_rate,accuracy_accepted,fnr_accepted,fpr_accepted,accuracy_rejected,accuracy_gain,accuracy_overall_conservative
0.2,100,97,3,0.97,0.03,0.8247422680412371,0.06779661016949153,0.34210526315789475,0.0,0.8247422680412371,0.7999999999999999
0.21,100,97,3,0.97,0.03,0.8247422680412371,0.06779661016949153,0.34210526315789475,0.0,0.8247422680412371,0.7999999999999999
0.22,100,97,3,0.97,0.03,0.8247422680412371,0.06779661016949153,0.34210526315789475,0.0,0.8247422680412371,0.7999999999999999
0.23,100,97,3,0.97,0.03,0.8247422680412371,0.06779661016949153,0.34210526315789475,0.0,0.8247422680412371,0.7999999999999999
0.24,100,97,3,0.97,0.03,0.8247422680412371,0.06779661016949153,0.34210526315789475,0.0,0.8247422680412371,0.7999999999999999
0.25,100,96,4,0.96,0.04,0.8333333333333334,0.06779661016949153,0.32432432432432434,0.0,0.8333333333333334,0.8
0.26,100,96,4,0.96,0.04,0.8333333333333334,0.06779661016949153,0.32432432432432434,0.0,0.8333333333333334,0.8
0.27,100,96,4,0.96,0.04,0.8333333333333334,0.06779661016949153,0.32432432432432434,0.0,0.8333333333333334,0.8
0.28,100,96,4,0.96,0.04,0.8333333333333334,0.06779661016949153,0.32432432432432434,0.0,0.8333333333333334,0.8
0.29,100,96,4,0.96,0.04,0.8333333333333334,0.06779661016949153,0.32432432432432434,0.0,0.8333333333333334,0.8
0.3,100,96,4,0.96,0.04,0.8333333333333334,0.06779661016949153,0.32432432432432434,0.0,0.8333333333333334,0.8
0.31,100,96,4,0.96,0.04,0.8333333333333334,0.06779661016949153,0.32432432432432434,0.0,0.8333333333333334,0.8
0.32,100,96,4,0.96,0.04,0.8333333333333334,0.06779661016949153,0.32432432432432434,0.0,0.8333333333333334,0.8
0.33,100,96,4,0.96,0.04,0.8333333333333334,0.06779661016949153,0.32432432432432434,0.0,0.8333333333333334,0.8
0.34,100,96,4,0.96,0.04,0.8333333333333334,0.06779661016949153,0.32432432432432434,0.0,0.8333333333333334,0.8
0.35000000000000003,100,96,4,0.96,0.04,0.8333333333333334,0.06779661016949153,0.32432432432432434,0.0,0.8333333333333334,0.8
0.36,100,95,5,0.95,0.05,0.8421052631578947,0.06779661016949153,0.3055555555555556,0.0,0.8421052631578947,0.7999999999999999
0.37,100,94,6,0.94,0.06,0.851063829787234,0.06779661016949153,0.2857142857142857,0.0,0.851063829787234,0.7999999999999999
0.38,100,94,6,0.94,0.06,0.851063829787234,0.06779661016949153,0.2857142857142857,0.0,0.851063829787234,0.7999999999999999
0.39,100,93,7,0.93,0.07,0.8494623655913979,0.06896551724137931,0.2857142857142857,0.14285714285714285,0.706605222734255,0.79
0.4,100,93,7,0.93,0.07,0.8494623655913979,0.06896551724137931,0.2857142857142857,0.14285714285714285,0.706605222734255,0.79
0.41000000000000003,100,93,7,0.93,0.07,0.8494623655913979,0.06896551724137931,0.2857142857142857,0.14285714285714285,0.706605222734255,0.79
0.42,100,93,7,0.93,0.07,0.8494623655913979,0.06896551724137931,0.2857142857142857,0.14285714285714285,0.706605222734255,0.79
0.43,100,92,8,0.92,0.08,0.8478260869565217,0.07017543859649122,0.2857142857142857,0.25,0.5978260869565217,0.78
0.44,100,92,8,0.92,0.08,0.8478260869565217,0.07017543859649122,0.2857142857142857,0.25,0.5978260869565217,0.78
0.45,100,91,9,0.91,0.09,0.8571428571428571,0.07017543859649122,0.2647058823529412,0.2222222222222222,0.6349206349206349,0.78
0.46,100,91,9,0.91,0.09,0.8571428571428571,0.07017543859649122,0.2647058823529412,0.2222222222222222,0.6349206349206349,0.78
0.47000000000000003,100,91,9,0.91,0.09,0.8571428571428571,0.07017543859649122,0.2647058823529412,0.2222222222222222,0.6349206349206349,0.78
